title,year,rating,poster,imdb_id
Anyone But You,2023,6.1,https://m.media-amazon.com/images/M/MV5BOTVhZGU2OWQtNDM1Ni00MzM3LTgzYjgtOTEwYzQzOWZjNTIyXkEyXkFqcGdeQXVyMTcwOTQzOTYy._V1_SX300.jpg,tt26047818
The Notebook,2004,7.8,https://m.media-amazon.com/images/M/MV5BNzc3Mzg1OGYtZjc3My00Y2NhLTgyOWUtYjRhMmI4OTkwNDg4XkEyXkFqcGdeQXVyMTU3NDU4MDg2._V1_SX300.jpg,tt0332280
The Count of Monte-Cristo,1975,6.9,https://m.media-amazon.com/images/M/MV5BNmU5YmIyNjAtYTZlMS00NjcwLWIxNjItNmEzMTk4ZTQ5MWMzXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_SX300.jpg,tt0072824
The Idea of You,2024,6.3,https://m.media-amazon.com/images/M/MV5BYWRkZjJiODEtM2IwZi00ZjM1LWEyOTUtOThjMDk3YThjZDUzXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_SX300.jpg,tt9466114
Enemy at the Gates,2001,7.5,https://m.media-amazon.com/images/M/MV5BYWFlY2E3ODQtZWNiNi00ZGU4LTkzNWEtZTQ2ZTViMWRhYjIzL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,tt0215750
Sniper: Ghost Shooter,2016,5.4,https://m.media-amazon.com/images/M/MV5BZGFjOGVjNjctN2ZhZS00MWYxLTk3MGEtZWRjNTgzZmRkZjJlXkEyXkFqcGdeQXVyMjQ1MDE0NzU@._V1_SX300.jpg,tt5090828
Elephant White,2011,5.0,https://m.media-amazon.com/images/M/MV5BMTEzOTUyNTQyNzBeQTJeQWpwZ15BbWU4MDU3MjI4MDMx._V1_SX300.jpg,tt1578882
Bad Boys: Ride or Die,2024,7.0,https://m.media-amazon.com/images/M/MV5BY2U5YmQ3YjgtM2I2OC00YmM5LTkyM2MtN2I5Zjg2MDE0ODkwXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,tt4919268
Civil War,2024,7.2,https://m.media-amazon.com/images/M/MV5BYTYyODhlODktYjUzNC00NjUyLWI1MzYtNmI0MTY3YTUxYjY2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,tt17279496
Barbie,2023,6.8,https://m.media-amazon.com/images/M/MV5BNjU3N2QxNzYtMjk1NC00MTc4LTk1NTQtMmUxNTljM2I0NDA5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,tt1517268
Damsel,2024,6.1,https://m.media-amazon.com/images/M/MV5BODRiMTA4NGMtOTQzZC00OWFjLWFmODctMjY2ZTcwYjI5NDMyXkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_SX300.jpg,tt13452446
Arthur the King,2024,7.0,https://m.media-amazon.com/images/M/MV5BNzMzMDNhZWYtZDE4ZC00MTg5LWJiZWEtZjU2OGM2ZjMzM2I1XkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_SX300.jpg,tt10720352
The Power of the Dog,2021,6.8,https://m.media-amazon.com/images/M/MV5BZGRhYjE2NWUtN2FkNy00NGI3LTkxYWMtMDk4Yjg5ZjI3MWI2XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,tt10293406
